Terme français,Terme anglais,Description en français,Description en anglais
Participant,Participant,Personne incluse à l’étude et recevant ou pouvant recevoir l’intervention.,An individual enrolled in the study who receives or may receive the intervention.
Personnel soignant,Care provider,Professionnel de santé délivrant l’intervention ou les soins standards aux participants.,A health professional who delivers the intervention or standard care to participants.
Evaluateur des résultats,Outcomes Assessor,Personne chargée d’évaluer le(s) résultat(s) de l’étude.,The individual who evaluates the outcome(s) of interest.
Membre de l'équipe de recherche,Research Team Member,"Personne impliquée dans la conduite de l’étude (investigateurs, coordinateurs, personnel d’étude, etc.).","A person involved in conducting the study, such as investigators, coordinators, or study staff."
