Terme français,Terme anglais,Description en français,Description en anglais
Etude interventionnelle (expérimentale),Interventional Study,"Une recherche dans laquelle les investigateurs réalisent une action ou une modification intentionnelle dans un groupe cible (ex. : traitement médical, programme de prévention, changement organisationnel, action éducative ou sociale), dans le but d’en évaluer les effets sur la santé, les comportements, ou les pratiques liés à la santé.","Research in which investigators carry out an intentional action or change in a target group (e.g., medical treatment, prevention program, organizational change, educational or social action) with the aim of evaluating its effects on health, behaviors, or health-related practices."
Etude observationnelle,Observational Study,"Une recherche dans laquelle les investigateurs n’interviennent pas activement sur les participants ou le contexte étudié, mais observent, décrivent et analysent des situations existantes. Elle peut porter sur des données issues de soins courants, d’enquêtes, de registres, d’observations de comportements ou d’environnements, sans introduire de modification volontaire du réel.","Research in which the investigators do not actively intervene with participants or the study context, but rather observe, describe, and analyze existing situations. It may involve data from routine care, surveys, registries, or observations of behaviors or environments, without introducing any deliberate changes to reality."
