Terme français,Terme anglais,Description en français,Description en anglais
Autre,Other,"À utiliser lorsque le type de population est connu, mais introuvable dans la liste.",Use when the population type is known but cannot be found in the list.
Population générale,General population,"Ensemble des individus d'un territoire donné, indépendamment de leur état de santé ou de leur recours aux soins.","All individuals in a given area, regardless of their state of health or their use of healthcare."
Patients,Patients population,"Personnes ayant reçu un diagnostic médical et faisant l’objet d’un suivi ou d’une prise en charge dans le cadre du système de soins, qu’il soit ambulatoire ou hospitalier.","People who have received a medical diagnosis and are subject to follow-up or care within the healthcare system, whether outpatient or inpatient."
Personnes en situation de handicap,People with disabilities,"Personnes qui présentent des incapacités physiques, mentales, intellectuelles ou sensorielles durables qui limitent leur activité ou restreignent leur participation à la vie en société participation sur la base de l’égalité avec les autres.","Individuals with long-term physical, mental, intellectual, or sensory disabilities that limit their activity or restrict their participation in society on an equal basis with others."
