Terme français,Terme anglais,Description en français,Description en anglais
Accès réservé,Restricted access,"Données disponibles dans un système, mais soumises à une restriction d'accès libre. Ce type d'accès peut se présenter dans différentes situations. Voici quelques exemples : l'utilisateur doit se connecter au système pour accéder aux données ; l'utilisateur doit envoyer un courriel à l'auteur ou à l'administrateur système pour accéder aux données ; l'accès aux données est réservé à une communauté spécifique (par exemple, une communauté universitaire).",Data that are available in a system but with some type of restriction for full open access. This type of access can occur in a number of different situations. Some examples are described below: The user must log-in to the system in order to access the data; The user must send an email to the author or system administrator to access the data ; Access to the data are restricted to a specific community (e.g. limited to a university community)
À définir,To be defined,Les conditions d'accès ne sont pas encore déterminées.,Access conditions are not yet determined.
Sous embargo,Embargoed access,"Données avec accès limité aux métadonnées jusqu'à sa mise en libre accès à une date donnée. Les embargos peuvent être imposés par les politiques des institutions et des bailleurs de fonds, ou fixés par l'auteur (par exemple, pour les thèses et les mémoires).","Embargoed access refers to data that are metadata only access until released for open access on a certain date. Embargoes can be required by institutions and funders policies, or set by the author (e.g such as in the case of theses and dissertations)."
Libre accès,Open access,"Données immédiatement et en permanence en ligne, et gratuites pour tous sur le Web, sans barrières financières et techniques. ","Data that are immediately and permanently online, and free for all on the Web, without financial and technical barriers."
Accès aux seules métadonnées,Metadata-only access,"Données dont l'accès est limité aux métadonnées. Les données sont décrites par les métadonnées, mais elles ne sont pas directement accessibles via le système ou la plateforme, et ne peuvent pas être mises à disposition dans une archive ou un entrepôt fiable.","Metadata only access refers to data in which access is limited to metadata only. Data are described by the metadata, but neither is directly available through the system or platform nor can be available in a trusted archive or repository."
