Terme français,Terme anglais,Description en français,Description en anglais
"Base médico-administrative (de patients, Assurance Maladie/Mutuelle)","Medical-administrative database (patients, health insurance/mutual insurance)",,
Via les professionnels de santé d'exercice libéral,Through independent healthcare practitioners,,
Autre,Other,"À utiliser lorsque la source du recrutement est connue, mais introuvable dans la liste.",Use when the recrutment source is known but cannot be found in the list.
"Base administrative (d'employés, d'élèves, d'étudiants, etc…)","Administrative database (employees, pupils, students, etc.)",,
Base de population à finalité statistique,Population database for statistical purposes,,
"Via des structures (services ou établissements de santé, écoles, entreprises…)","Through organizations (health services or institutions, schools, businesses, etc.)",,
"Registre de maladies, de décès",Disease and death registry,,
