Terme français,Terme anglais,Description en français,Description en anglais
SIREN,SIREN,Système national d’identification et du répertoire des entreprises et de leurs établissements (https://sirene.fr/sirene/public/accueil),Computer system for the business and establishment register (https://sirene.fr/sirene/public/accueil)
ROR,ROR,Registre des organisations de recherche (https://ror.org/),Research Organization Registry (https://ror.org/)
RNSR,RNSR,Répertoire national des structures de recherche (https://rnsr.adc.education.fr/),National directory of research structures (https://rnsr.adc.education.fr/)
