Terme français,Terme anglais,Description en français,Description en anglais
Étude complétée,Completed study,L'étude est terminée et toutes les données ont été collectées.,The study is finished and all data has been collected.
Inconnu,Unknown,Le statut de l'étude n'est pas connu.,The status of the study is unknown.
Étude en cours,Ongoing study,L'étude est toujours en cours de réalisation ou de collecte de données.,The study is still ongoing or data collection is in progress.
Étude arrêtée,Terminated study,L'étude a été interrompue avant son achèvement prévu.,The study was stopped before its planned completion.
