Terme français,Terme anglais,Description en français,Description en anglais
Registres,Registries,,
Longitudinale ou cohorte,Longitudinal or cohort,,
Etudes transversales,Cross-sectional studies,,
Etudes cas-temoin,Case-control studies,,
Autres,Other,,
