prefLabel_fr,prefLabel_en,exactMatch,identifier
Participant,Participant,,FBM7367
Personnel soignant,Care provider,,FBM7804
Membre de l'équipe de recherche,Research Team Member,,FBM7912
Evaluateur des résultats,Outcomes Assessor,,FBM4651
