prefLabel_fr,prefLabel_en,exactMatch,identifier
Libre accès,Open access,http://purl.org/coar/access_right/c_abf2,FID7806
À définir,To be defined,,FID5006
Accès réservé,Restricted access,http://purl.org/coar/access_right/c_16ec,FID9949
Accès aux seules métadonnées,Metadata-only access,http://purl.org/coar/access_right/c_14cb,FID4827
Sous embargo,Embargoed access,http://purl.org/coar/access_right/c_f1cf,FID1022
