Terme français,Terme anglais,Description en français,Description en anglais
Dossier du patient,Clinical source: Clinical record,"L’ensemble structuré et évolutif des informations concernant la prise en charge du patient, recueillies par les professionnels de santé, quels que soient les secteurs et modes d’intervention.
(Source : Guide de certification des établissements de santé, HAS)","The structured and evolving set of information concerning patient care, collected by healthcare professionals, regardless of sector or mode of intervention."
Données collectées dans le cadre d'une recherche,Research data,"Données préexistantes déjà collectées dans le cadre d’un projet de recherche, suivant un protocole spécifique, pour répondre aux objectifs scientifiques d’une étude. Ces données sont structurées, documentées et ont été recueillies de manière standardisée, notamment au moyen de cahiers d’observation (CRF ou eCRF).","Pre-existing data already collected as part of a research project, following a specific protocol, to meet the scientific objectives of a study. These data are structured, documented and have been collected in a standardised manner, in particular using observation notebooks (CRF or eCRF)."
Biobanque,Biobank,"Collections structurées d'échantillons biologiques, associées à des données pertinentes et gérées conformément aux normes professionnelles, conçues pour recevoir, stocker, traiter et/ou distribuer des échantillons destinés à la recherche ou aux soins de santé.","Structured collections of biological specimens, linked to relevant data and managed in compliance with professional standards, which are designed to receive, store, process, and/or distribute samples for use in research or healthcare."
Autre,Other,"À utiliser lorsque la source de données est connue, mais introuvable dans la liste.",Use when the data source is known but cannot be found in the list.
Base administrative,Administrative database,"Bases de données contenant les informations issues de procédures administratives courantes (par ex. registres d'état civil, recensement de la population, données fiscales, etc.)","Databases containing information from routine administrative procedures (e.g. civil status registers, population census, tax data, etc.)"
Registre,Registry,"Recueil continu de données individuelles portant sur un ou plusieurs événements de santé, visant l’exhaustivité dans une population géographiquement définie, à des fins de recherche et/ou de santé publique.","A continuous collection of individual-level data on one or more health events, aiming for exhaustiveness within a geographically defined population, for research and/or public health purposes."
Source des données paracliniques,Paraclinical source,"Dispositifs, systèmes ou structures qui produisent, enregistrent ou centralisent les résultats d’examens médicaux réalisés en appui au diagnostic ou au suivi d’un patient, mais en dehors de l’examen clinique direct (par ex. Laboratoire de biologie médicale, plateau technique d'imagerie, unité d'explorations fonctionnelles, SI du stockage d'imagerie, appareils médicaux connectés, etc.)","Devices, systems or structures that produce, record or centralise the results of medical examinations carried out to support the diagnosis or follow-up of a patient, outside of direct clinical examination (e.g. medical biology laboratory, imaging technical platform, functional exploration unit, imaging storage IS, connected medical devices, etc.)."
Base médico-administrative,Medico-administrative database,"Bases de données produites par des acteurs du système de santé (établissements de santé, assurance maladie, etc.) à des fins administratives ou de gestion (actes médicaux, séjours hospitalier, consommations de soins, etc.)","Databases produced by healthcare system actors (healthcare institutions, health insurance providers, etc.) for administrative or management purposes (medical procedures, hospital stays, healthcare consumption, etc.)"
