prefLabel_fr,prefLabel_en,exactMatch,identifier
Cohorte,Cohort study,,FOS6552
Etude cas-témoins,Case-control study,,FOS9042
Registre des pratiques,Practices registry,,FOS2667
Registre de morbidité,Morbidity registry,,FOS6567
Etude de cas,Case study,,FOS7770
Etude cas croisé,Case-crossover study,,FOS4325
Autre,Other,,FOS1108
