prefLabel_fr,prefLabel_en,exactMatch,identifier
"Publication définissant la base de données et/ou son protocole de collecte (article présentant les données, profil de la cohorte, article sur la méthode ou le protocole, article de synthèse, note sur les données, rapport enregistré...).","Publication defining the database and/or its collection protocol  (data paper, cohort profile, method/protocol paper, resource paper, data note, registered report...).",,FDT4538
"Publication issue de l'étude et présentant les résultats de la recherche (articles, posters, rapports, ouvrages ou chapitres...).","Publication resulting from the study and presenting research findings (articles, posters, reports, books or chapters, etc.).",,FDT6087
Publication réutilisant les données collectées dans le cadre de cette étude.,Publication reusing data collected in this study.,,FDT6755
Protocole de l'étude.,Study protocol.,,FDT6296
