prefLabel_fr,prefLabel_en,exactMatch,identifier
Phase 1,Phase 1,,FTR6479
Phase 2,Phase 2,,FTR6916
Phase 3,Phase 3,,FTR5268
Phase 4,Phase 4,,FTR3851
NA,NA,,FTR8897
