prefLabel_fr,prefLabel_en,exactMatch,identifier
Étude en cours,Ongoing study,,FSS8739
Étude complétée,Completed study,,FSS7922
Étude arrêtée,Terminated study,,FSS2174
Inconnu,Unknown,,FSS6048
