prefLabel_fr,prefLabel_en,exactMatch,identifier
Longitudinale rétrospective,Retrospective longitudinal,,FTP8482
Longitudinale prospective,Prospective longitudinal,,FTP1434
Etude transversale non répétée,One-time cross-sectional study,,FTP3385
Etude transversale répétée ,Repeated cross-sectional study,,FTP2932
Autre,Other,,FTP2406
