prefLabel_fr,prefLabel_en,exactMatch,identifier
Public (France),Public (France),,FOT8449
Public (Europe),Public (Europe),,FOT7105
Industrie,Industry,,FOT4751
Privé à but non lucratif,Private non-profit,,FOT5209
Autre,Other,,FOT2854
