Terme français,Terme anglais,Description en français,Description en anglais
FReSH (France Recherche en Santé Humaine),FReSH (France Recherche en Santé Humaine),Portail recensant les collectes de données individuelles relatives à la santé réalisées dans le cadre de la recherche française. ,Portal listing individual health data collections carried out as part of French research. 
Clinical Trials,Clinical Trials,Site web et base de données en ligne consacrés aux études cliniques et aux informations relatives à leurs résultats.  (https://clinicaltrials.gov/),Website and online database of clinical research studies and information about their results (https://clinicaltrials.gov/).
PEF (Portail Epidémiologie France),PEF (Epidemiology France Portal),Catalogue des bases de données individuelles en santé en France (https://epidemiologie-france.aviesan.fr/).,Catalogue of the individual health databases in France (https://epidemiologie-france.aviesan.fr/en).
