prefLabel_fr,prefLabel_en,exactMatch,identifier
Traitement,Treatment,,FRP6609
Recherche sur les services de santé,Health Services Research,,FRP5390
Prévention,Prevention,,FRP4609
Recherche fondamentale,Basic Science,,FRP2666
Diagnostic,Diagnostic,,FRP7944
Faisabilité des dispositifs,Device Feasability,,FRP1390
Soins de soutien,Supportive Care,,FRP5493
Dépistage,Screening,,FRP2373
Autre,Other,,FRP9823
