prefLabel_fr,prefLabel_en,exactMatch,identifier
Féminin,Female,http://id.nlm.nih.gov/mesh/D005260,FSE3201
Masculin,Male,http://id.nlm.nih.gov/mesh/D008297,FSE2667
Autre,Other,,FSE3161
