Terme français,Terme anglais,Description en français,Description en anglais
Enrichissement des données par croisement (autre que le suivi passif),Data enrichment through cross-referencing,"Appariement des données collectées dans le cadre de l’étude avec des données issues de sources externes, dans le but de compléter ou d’élargir l’information disponible sur les participants. Ces sources peuvent inclure des bases médico-administratives, des données socio-économiques, environnementales, biologiques, etc.","Matching data collected as part of the study with data from external sources, with the aim of supplementing or expanding the information available on participants. These sources may include medical-administrative databases, socio-economic, environmental and biological data, etc."
Suivi passif des participants,Passive participant monitoring,"Utilisation continue ou périodique, à des fins de suivi longitudinal, de données de sources tierces pour documenter l’évolution de la situation des participants (statut vital, évenements de santé,etc.) sans contact direct avec eux.","Continuous or periodic use, for longitudinal monitoring purposes, of data from third-party sources to document changes in participants' circumstances (vital status, health events, etc.) without direct contact with them."
Ajout d'individus,Adding individuals,"Intégration dans la base d’étude de nouveaux participants identifiés à partir de sources tierces, à des fins d’élargissement d’un échantillon.","Integration into the study database of new participants identified from third-party sources, for the purpose of expanding the sample."
